Event,Average Age
"Cycling Men's 1,000 metres Time Trial, Cycling Men's 100 kilometres Team Time Trial, Cycling Men's Individual Pursuit, 4,000 metres, Cycling Men's Road Race, Individual",31.0
"Sailing Mixed Three Person Keelboat, Shooting Men's Running Target, 10 metres",31.0
Sailing Mixed Two Person Keelboat,30.91
Sailing Mixed Three Person Keelboat,30.9
"Equestrianism Men's Jumping, Individual, Equestrianism Men's Jumping, Team, Equestrianism Mixed Jumping, Individual, Equestrianism Mixed Jumping, Team",30.8
"Shooting Men's Double Trap, Shooting Men's Trap",30.8
"Canoeing Men's Canadian Singles, 10,000 metres",30.5
"Equestrianism Mixed Jumping, Individual, Equestrianism Mixed Jumping, Team",30.47
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",30.34
"Shooting Mixed Running Target, 50 metres",30.33
Shooting Men's Double Trap,30.33
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",30.18
"Equestrianism Men's Jumping, Individual, Equestrianism Men's Jumping, Team",30.17
"Equestrianism Mixed Three-Day Event, Individual, Equestrianism Mixed Three-Day Event, Team",30.06
"Fencing Men's Foil, Team, Fencing Men's Sabre, Individual, Fencing Men's Sabre, Team, Fencing Men's epee, Individual, Fencing Men's epee, Team",30.0
"Athletics Women's 1,500 metres, Athletics Women's 10,000 metres, Athletics Women's 5,000 metres, Athletics Women's Marathon",30.0
"Equestrianism Mixed Jumping, Individual, Equestrianism Mixed Jumping, Team, Volleyball Men's Volleyball",30.0
"Ice Hockey Men's Ice Hockey, Shooting Men's Free Pistol, 50 metres, Team",30.0
"Art Competitions Mixed Sculpturing, Athletics Men's Standing Long Jump, Weightlifting Men's Unlimited, One Hand, Weightlifting Men's Unlimited, Two Hands",30.0
"Ice Hockey Men's Ice Hockey, Water Polo Men's Water Polo",30.0
"Equestrianism Mixed Jumping, Individual, Equestrianism Mixed Jumping, Team, Modern Pentathlon Men's Individual, Modern Pentathlon Men's Team",30.0
"Judo Men's Half-Middleweight, Table Tennis Men's Singles",30.0
"Rowing Women's Coxed Eights, Rowing Women's Coxed Fours, Rowing Women's Coxed Quadruple Sculls",30.0
"Ice Hockey Men's Ice Hockey, Shooting Men's Free Pistol, 50 metres, Shooting Men's Free Pistol, 50 metres, Team",30.0
"Bobsleigh Men's Four, Cross Country Skiing Men's 10 kilometres, Cross Country Skiing Men's 10/15 kilometres Pursuit, Cross Country Skiing Men's 30 kilometres",30.0
"Bobsleigh Men's Two, Football Men's Football",30.0
"Biathlon Men's 10 kilometres Sprint, Biathlon Men's 12.5 kilometres Pursuit, Cross Country Skiing Men's 4 x 10 kilometres Relay",30.0
"Bobsleigh Men's Four/Five, Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 kilometres, Cross Country Skiing Men's 4 x 10 kilometres Relay",30.0
"Athletics Men's 10,000 metres, Athletics Men's 3,000 metres Steeplechase, Athletics Men's Cross-Country, Individual",30.0
"Bobsleigh Men's Four, Luge Men's Singles, Luge Mixed (Men)'s Doubles",30.0
"Boxing Men's Featherweight, Boxing Men's Lightweight, Shooting Men's Air Pistol, 10 metres, Shooting Men's Free Pistol, 50 metres",30.0
"Curling Men's Curling, Rowing Men's Quadruple Sculls",30.0
"Boxing Men's Heavyweight, Handball Men's Handball",30.0
"Fencing Men's Foil, Individual, Fencing Men's Sabre, Individual, Fencing Men's Sabre, Team, Fencing Men's epee, Individual, Fencing Men's epee, Team",30.0
